Age,Salary,Purchased
22,28000,0
25,32000,0
47,78000,1
52,95000,1
46,68000,1
56,105000,1
27,35000,0
31,42000,0
38,61000,1
42,72000,1
29,39000,0
34,48000,0
41,73000,1
36,55000,1
23,29000,0
58,112000,1
49,85000,1
33,47000,0
44,76000,1
26,36000,0
37,59000,1
51,98000,1
30,43000,0
28,38000,0
45,82000,1
39,64000,1
24,31000,0
55,108000,1
48,81000,1
35,52000,1
32,45000,0
43,77000,1
21,26000,0
40,70000,1
50,93000,1
27,34000,0
29,41000,0
53,101000,1
46,79000,1
31,44000,0
34,50000,0
38,62000,1
57,110000,1
25,33000,0
41,74000,1
36,56000,1
22,27000,0
54,104000,1
47,83000,1
33,46000,0
28,37000,0
44,75000,1
39,65000,1
26,35000,0
52,97000,1
30,42000,0
35,53000,1
48,86000,1
24,30000,0
56,109000,1
43,76000,1
37,60000,1
32,46000,0
23,28000,0
45,81000,1
49,90000,1
29,40000,0
40,71000,1
27,36000,0
51,96000,1
34,49000,0
42,73000,1
31,45000,0
55,106000,1
38,63000,1
25,34000,0
46,80000,1
33,48000,0
58,114000,1
28,39000,0
41,72000,1
36,57000,1
22,29000,0
53,100000,1
47,84000,1
30,43000,0
39,66000,1
26,37000,0
50,92000,1
35,54000,1
24,31000,0
44,78000,1
32,47000,0
57,111000,1
29,41000,0
48,87000,1
37,61000,1
23,30000,0
54,103000,1
40,69000,1
31,44000,0
52,99000,1
